TISSUE,CELL_LINE_NAME
Haematopoietic and Lymphoid,K-562
Haematopoietic and Lymphoid,KARPAS-1106P
Haematopoietic and Lymphoid,KARPAS-231
Haematopoietic and Lymphoid,KARPAS-299
Haematopoietic and Lymphoid,KARPAS-422
Haematopoietic and Lymphoid,KARPAS-45
Haematopoietic and Lymphoid,KARPAS-620
Haematopoietic and Lymphoid,KCL-22
Haematopoietic and Lymphoid,KE-37
Haematopoietic and Lymphoid,KG-1
Haematopoietic and Lymphoid,KM-H2
Haematopoietic and Lymphoid,KMOE-2
Haematopoietic and Lymphoid,KMS-12-BM
Haematopoietic and Lymphoid,KOPN-8
Haematopoietic and Lymphoid,KU812
Haematopoietic and Lymphoid,KY821
Haematopoietic and Lymphoid,L-1236
Haematopoietic and Lymphoid,L-363
Haematopoietic and Lymphoid,L-428
Haematopoietic and Lymphoid,L-540
Haematopoietic and Lymphoid,LAMA-84
Haematopoietic and Lymphoid,LC4-1
Haematopoietic and Lymphoid,LOUCY
Haematopoietic and Lymphoid,MC-CAR
Haematopoietic and Lymphoid,ME-1
Haematopoietic and Lymphoid,MEG-01
Haematopoietic and Lymphoid,MHH-CALL-2
Haematopoietic and Lymphoid,MHH-PREB-1
Haematopoietic and Lymphoid,ML-2
Haematopoietic and Lymphoid,MLMA
Haematopoietic and Lymphoid,MM1S
Haematopoietic and Lymphoid,MN-60
Haematopoietic and Lymphoid,MOLM-13
Haematopoietic and Lymphoid,MOLP-8
Haematopoietic and Lymphoid,MOLT-13
Haematopoietic and Lymphoid,MOLT-16
Haematopoietic and Lymphoid,MOLT-4
Haematopoietic and Lymphoid,MONO-MAC-6
Haematopoietic and Lymphoid,MV-4-11
Haematopoietic and Lymphoid,MO-T
Haematopoietic and Lymphoid,NALM-6
Haematopoietic and Lymphoid,NAMALWA
Haematopoietic and Lymphoid,NKM-1
Haematopoietic and Lymphoid,NOMO-1
Haematopoietic and Lymphoid,OCI-AML2
Haematopoietic and Lymphoid,OCI-AML3
Haematopoietic and Lymphoid,OCI-AML5
Haematopoietic and Lymphoid,OCI-M1
Haematopoietic and Lymphoid,OPM-2
Haematopoietic and Lymphoid,P12-ICHIKAWA
Haematopoietic and Lymphoid,P30-OHK
Haematopoietic and Lymphoid,P31-FUJ
Haematopoietic and Lymphoid,P32-ISH
Haematopoietic and Lymphoid,PF-382
Haematopoietic and Lymphoid,RC-K8
